stemming,label_number,pseudo_label
akun gue kena hack kali tangan steam support kena sebab pakai fitur steam guard apk mobile kena hack betapa syukur banget akun satu aplikasi fungsi login scan biar aman ratingnya ya ku,2,negative
kecewapadahal apknya jarang buka tibatiba logout login pakai kode verifikasi mobilegimana coba ngeceknya login mobileudah konfirmasi terima kode hilang ituehh email cuman kasih link pulih akun ribet bangetsekali salah koreksi batasanribet banget gua loginnya bantu kasih link bantu,2,negative
kali akun gugur gara gara steam guard mobile authentication coba kirim kode gagal steam guard mobile sistem kecewa mohon baik valve,2,negative
steam kembali akun hilang ganti hppadahal email passwordcuma pas nama password apa apainkacau banget sih sistem login steam,2,negative
pasuk kode authenticator bikin repot sajakalo steam guard mending hapus bikin pusing hadeh tolong sistem login ya permudahliat tuh aplikasi microsoft sistem loginnya mudah kayak initapi ya benerin butuh ya balas,2,negative
aco nih steam bikin susah login hp died pas login verifikasi steam guard hp emailnomer taut steam gue gue doang ngalamin susah gara steam guard steam guard hacker nge hack akun orang fitur susah hapus steam guard ya minimal pulih pakai email,2,negative
terima kasih team steam akun steam kemarin kena hack tipu pikir langsung bantu steam steam ubah alamat email tipu email milik pribadi mana email email akun steam kali terima kasih steam bantu,1,neutral
akun ribet banget verifikasi email suruh jendela kasih buat akun webapk nunjukin masuk email verify steam ya,2,negative
banyak hackerakun kena hack coba kirim lapor kesteam tolong ketat aman ya kena hacksaya beli game mahal kena hack steam,2,negative
hp rusak otomatis akses steamguard ngikut hilang kirim verifikasi nomor telepon eror saran ku mending hapus fitur steam guard susah,2,negative
pakai logout login ribet susah bug login,2,negative
gua gua doang masalah bagi steam guard baik aman ya pakai autentikasi factor pakai no hp email kode verifikasi susah steam guard,2,negative
proses login rumit taulupa kode steam guard username password email perintah masuk kode steam guard tau kode kode email komentar balas profesional just give me my account,1,neutral
ribet banget daftar ya ttyd muter doang jam alih crhome gmail steam crhome gmail nyink verifikasi masuk email verifikasi,2,negative
asih rating keren aplikasi listlist game diskon pegang pc mudah good job,0,positive
daftar nomor susah kali nomor kode pas tekan next pasuk kode pas coba kali cooldown minggu dasar susah orang daftar nomor,2,negative
bayar dana pakai aplikasi kali pakai aplikasi webnya eror pas buka crome lancar lancar bayar pulih akun ribet banget lupa steam guard ya doang tolong benah konsumen rugi,2,negative
susah pulih batas pulih butuh steam guard guna password akun verifikasi pakai steam guard,2,negative
log habis instal aplikasi sistem ya bilang pakai autentikator apa sistem hapus mudah log ya,1,neutral
aplikasi jebak menu steam guard pindah menu mohon baik,1,neutral
bikin kesel akun optimal susah akun sistem verifikasi ribet susah verifikasi halaman lihat baik,2,negative
buka steam guard mobile jir steam guard mobile awak log out perangkat ngakal dikit steam mobile perangkat kode steam mobile litterally hp akun steam mobile otomatis masuk gblk,1,neutral
authenticator mobile jelek ganggu banget reset password butuh authenticator coba kode ya kasih continue,2,negative
